Rural,Ensemble,Féminin,8.1,0.0,5.5,4.1,3.8,3.9,2.7,2.6,3.1,2.4,2.1
Rural,Ensemble,Total,6.6,6.8,6.3,5.2,5.0,5.9,3.7,3.6,4.0,4.2,4.1
National,Tanger-Tétouan-Al Hoceïma,Masculin,8.1,9.2,9.4,8.8,9.6,8.9,7.1,6.7,7.0,8.6,10.4
National,Tanger-Tétouan-Al Hoceïma,Féminin,13.3,13.3,12.3,12.0,12.5,16.1,14.7,13.0,13.3,13.8,12.3
National,Tanger-Tétouan-Al Hoceïma,Total,9.4,10.2,10.1,9.7,10.8,10.4,8.6,7.5,8.2,9.6,10.7
National,Oriental,Masculin,18.4,18.5,17.9,15.3,16.7,19.7,12.4,13.9,15.0,14.2,14.4
National,Oriental,Féminin,39.5,32.1,28.1,27.1,24.7,25.4,19.8,23.5,26.6,21.8,17.2
National,Oriental,Total,22.1,20.9,19.6,17.4,18.1,20.7,13.8,15.6,17.1,15.7,15.0
National,Fès-Meknès,Masculin,12.9,12.5,12.4,11.6,11.5,11.3,7.5,7.6,8.2,7.5,8.3
National,Fès-Meknès,Féminin,22.5,21.2,20.4,19.9,19.7,16.7,13.2,15.5,14.1,7.7,9.3
National,Fès-Meknès,Total,15.1,14.4,14.2,13.5,13.4,12.5,8.7,9.3,9.5,7.6,8.6
National,Rabat-Salé-Kénitra,Masculin,10.2,10.1,9.7,8.9,10.1,10.5,8.2,9.2,10.3,9.5,9.0
National,Rabat-Salé-Kénitra,Féminin,20.9,20.5,17.6,17.7,18.8,19.7,17.7,17.8,20.0,14.2,12.6
National,Rabat-Salé-Kénitra,Total,12.7,12.6,11.6,11.0,12.2,12.7,10.7,11.4,12.9,10.8,10.0
National,Béni Mellal-Khénifra,Masculin,9.9,11.8,12.0,10.2,9.3,6.9,4.6,4.8,5.4,6.8,5.8
National,Béni Mellal-Khénifra,Féminin,17.6,16.2,16.6,11.9,10.4,9.2,7.8,8.7,7.7,7.7,8.5
National,Béni Mellal-Khénifra,Total,11.2,12.5,12.8,10.5,9.6,7.4,5.4,5.8,6.1,7.1,6.6
National,Casablanca-settat,Masculin,13.0,13.8,13.9,12.3,13.2,12.1,8.8,8.7,9.9,8.9,9.9
National,Casablanca-settat,Féminin,19.4,18.2,18.3,17.8,18.2,16.9,13.1,13.8,14.9,10.6,10.4
National,Casablanca-settat,Total,14.6,15.0,15.0,13.8,14.6,13.4,10.0,10.2,11.3,9.3,10.0
National,Marrakech-safi,Masculin,6.4,7.6,6.4,5.7,6.8,6.5,5.3,6.4,6.6,7.5,7.2
National,Marrakech-safi,Féminin,15.9,15.1,13.0,11.7,11.0,8.3,7.2,8.8,9.2,7.2,7.6
National,Marrakech-safi,Total,8.1,8.9,7.7,6.9,7.6,6.9,5.7,6.9,7.2,7.4,7.4
National,Drâa-Tafilalet,Masculin,7.0,9.8,10.7,9.2,9.7,9.0,5.0,5.1,5.5,7.8,8.9
National,Drâa-Tafilalet,Féminin,12.5,13.6,15.5,11.3,9.3,8.9,7.2,5.7,7.3,5.5,4.2
National,Drâa-Tafilalet,Total,8.4,10.7,11.9,9.7,9.6,8.9,5.6,5.3,6.0,6.9,7.2
National,Souss-Massa,Masculin,8.6,9.8,11.4,9.6,9.9,11.1,9.6,9.4,9.3,8.6,10.0
National,Souss-Massa,Féminin,21.8,23.0,23.7,20.4,16.6,14.4,12.4,12.4,11.3,9.9,10.2
National,Souss-Massa,Total,11.1,12.3,13.5,11.4,11.3,11.8,10.3,10.1,9.8,9.0,10.1
National,Régions du Sud,Masculin,15.7,15.6,14.5,14.4,14.2,13.9,10.7,8.4,7.4,12.5,13.6
National,Régions du Sud,Féminin,53.5,54.9,49.1,48.7,45.9,47.5,39.8,42.1,39.0,27.4,25.9
National,Régions du Sud,Total,22.8,22.2,20.3,20.1,20.1,19.8,16.3,14.7,13.1,15.9,16.5
National,Ensemble,Masculin,10.8,0.0,11.5,10.3,10.8,10.7,7.8,8.1,8.8,8.9,9.4
National,Ensemble,Féminin,20.5,0.0,18.3,17.2,16.8,16.2,13.5,14.1,14.7,10.9,10.5
National,Ensemble,Total,13.0,13.3,13.0,11.8,12.3,11.9,9.2,9.5,10.2,9.4,9.7
